,commentor,comment
1204,Asif Iqbal,What a amazing lecture. Getting a lot of new knowledge today. You are truly inspiring Sir.
1205,Nupura Brahme,Very Nice explanation of basic concepts.thanks.
1206,BM,"Hi, sir. Following your lectures, (not live bt next day)very useful and learning new things every time."
1207,Sagar Goyal,Sir Maine abhi tak 4 classes complete kari bahut hi behtareen classes hai sir.. Pure deep main Every thing apne explain ki hai abhi tak mujhe itna badiya kisi ne nahi padaya sir.. Salute to you sir and your efforts..Thank you sir..
1208,Mahesh 360°,Thank you so much sir sacchi hum bohot enjoy karke padh rahe hai aap jb bhi padha te hai na ek dm concept clear hote hai ️️
1209,PROGRAMMING KNOWLEDGE, you teach very very good 
1210,Muhammad Zeeshan,"You are tha best teacher ,sir"
1211,Sushant Deshwal,Thank you so much sir️️️
1212,Sumit Meena,mja a gya sir mst padate ho i like ty so much clg me ese padate to mja a jata once again thanks
1213,Tanmay kumar Swain,Thank you so much sir 
1214,RAKESH ROY,Best teacher category in world
1215,Ankur Singer,Sir apke bare mein kya kahe shabd nahi hai........aap jo kar rahe hai sb ke liye....jo padna chahte hai apko boht dua de rhe h sir...bss zindagi mein ek baar aapke charan chuna chahta hoon love u sir huge respect
1216,BOLU YA KAHI TARI,Thank you Sir 
1217,Krishna Kumar,Thanku sir 
1218,sandeep Sharma,अद्धभुत 
1219,Badal Kumar,Great video sir Thanks love you
1220,Anokhautomation,"String constant (""string"");"
1221,jivan,Sir ka channel ko 1 million subscribers pura karana hai in June mai.
1222,______Ꮇя विशाल ________༒͢  ࿐,Very nice
1223,Simple Agarwal,Amazing lecture plz free me hi c sikhana paise me mt krna
1224,Pawan kumar,
1225,Anokhautomation,a=5
1226,Danish Ansari,Thank you
1227,Anmol Soin,Quiz result kab aayega sir ji?
1228,Ishika gautam,"Sir apko dekhte hi mujhe motivation milta h sir sir mai abhi bsc kr rhi hu Maine JB coding sikhni start ki thi to mujhe bilkul bhi samajh me nhi ATI thi lgta tha ki ye mere se nhi hogi koi bhi concept clear nhi ho pata tha fir Maine apke channel se coding sikhni start ki to dhire dhire mere concept ke doubts clear hote Gaye or strong ho Gaye concept... 
Coding sikhne ke liye Maine apke kehne pr dry run krna sikha Maine kafi dry run kia to Meri coding skill or develop ho gai sir ap bilkul concept clear krke or bilkul deeply smjhate h to ek bhi confusion nhi rh jati h sir else hi hamesa hamara sath dete rhiye to hm Google or Microsoft jaisi companies me placement le sake... 
So thank you so much sir ... 
Sir Maine apna pura experience bta dia h 
Pahele mere concept clear nhi ho pate the mai bahut hi jada depressed ho jati thi esa hi kai students ke sath hota h to wo sochte h ki hamare liye coding nhi bani hui h or jldi se har man lete h lekin Jo har nhi mante h or apne Kam me ache se lage rhte h unhi ko life ne hamesa success milti h... 
So keep it up... 
And thank you so much sir fir make my life best ...."
1229,Jagdamba kumari,Anyone tell me how to download the notes because I am not able to get the notes ... please guys
1230,Mr. Ravi Creation,sir quiz not uploaded yet we are waiting
1231,Asha Das,thanks sir
1232,facts continue,Quiz kb aayegi
1233,MD GIASUDDIN MOLLA,"Apka parhane na tarika bahut bahut bahut .......accha lagta ha 
Mai 2 sal se apka videos  dekta hu"
1234,Anokhautomation,Value of a is 5
1235,Coding_With_Tarun⚡,Sir quiz kb aayega?
1236,310_93 Pratyush cse,best sir
1237,Mohit Kashyap Entertainment🇮🇳,String constant
1238,chandan choudhary,Sir quiz kaha h
1239,Lakhan Solanki,Tq sir
1240,Aman Kumar,sir the quiz is not uploaded yet
1241,sujan mandal,Be positive: Shayad server down ho gaya
1242,Rohit Albert,Mobile ke liye koi best code editor btado please
1243,Saurabh vlogger & Music,Sir 1st class ka pdf open ho rha h uske bdd ka pdf nhi mil rha h ??
1244,Harsh Rank,Ese hi python ke class kab suru honge
1245,Sunny,Sir quiz upload nahi hua hai abhi tak ️
1246,Mahesh 360°,"Sir mai abhi iNeuron pe chal rahe C , Java , JavaScript live lectures attend kr raha hu kya ye ek sath sekhna sahi rahega ya sirf ek pe focus karna chaiye"
1247,Mohit Kashyap Entertainment🇮🇳,Getch double charcter ko use karta hai
1248,Shal sharma,Sir I m not able to get Notes...
1249,Priya Saini,Good morning sir sir abhi tk quiz or assignment upload nhi hue
1250,MD GIASUDDIN MOLLA,"Good morning sir
Mai jab apka videos dekta hu mujhe lag ta hai Mai kar sakta hu
Keya c avi Mera kam asakta hai
Now I'm ( 36+) from Kolkata
Please reply"
1251,Sumit Meena,"quize kaha hai 
sir"
1252,Vicky Kumar,Sir notes nhi mil rha hai
1253,ZAM CODE,love you sir
1254,Muqaddas Malik,Sir quizzes not uploaded yet.
1255,Rαɱα Sԋαɳƙαɾ,Sir INeuron pay content nhi  chal raha hai Mara
1256,sujan mandal,"Abhi tak quize upload nahi  hua
Quize ka Lia rat jagli par quize nahi mila"
1257,Kran Kumar Sharma,"printf(""Hello Students"")"
1258,engineer loknath patel,Sir quiz is done 18/25 aye 
1259,Rαɱα Sԋαɳƙαɾ,May enrolled kar lia hu
1260,Ayush Jaiswal,"printf (""Hello students !"");"
1261,akash Chauhan,graphics program banana sikha ye ge kya
1262,Arti Chauhan,Sir Quiz me to submit hi nai ho rha hai ..
1263,one seven two nine,liked
1264,Pratap Gadhavi,Sir muje joit kar lo me padhai karna chahta hu
1265,Arti Chauhan,Q14 koi mujhe shmja skta hai ..
1266,Animesh Khan,ha sir
1267,Mohit Kashyap Entertainment🇮🇳,Getch screen ko hold karti hai
1268,Abhishek Mathur,"Sir, the way you teach and explain everything in depth and their application is commendable.... Kudos to your teaching style..."
1269,Sonu Mishra(kashyap),"Respected sir, 
I use to watch your videos, your videos are really helpful in learning and growing in programming... also for semester exams preparation...your story is impressive, gave me a motivation...you are providing such an excellent content in free..nothing wrong if you provide some paid courses.
We've never seen your cape or mask, but we see your superpowers every day!Thanks for being a super teacher!
             You teach with love and effort and energy that draws in every student."
1270,Sayan Paul,"what an amazing way of teaching things so easily , i'm lucky sir , that i found this page. You're helping lot's of learners like us to grow and succeed in life . I'm revising C because i'm learning Data strucuture in my college."
1271,Virendra Kumar,"Sir, today's content is so useful.
Thanks a lots Sir."
1272,Megatron,very awesome lecture ..really enjoying your teaching style ; </>
1273,Asif Iqbal,"Sir, you explained very nicely the difference between float and double data type.
sir, can you elaborate how the float data type possesses the precision of up to seven significant digits?"
1274,Aayush Kadam,Sir please keep this series continue and complete the course faster 
1275,bla bla 😘😘,"Very nice explanation sir, easy to understand thankyou sooooo much sir for this sessions "
1276,Akansha Agarwal,One of the best️ Thankful to ineuron team to find such gems
1277,Shal sharma,Today  I get to know about u sir..I sw ur 2 videos from tomorrow .N now watching ur 3day  of ur community classes ..Thanks sir ..It's really helpful ..N great to watch n know more about programming
1278,Gurjant Singh,Thanks So Much Sir For Giving Us This Quality  Education For Free . keep Up Good Work sir .
1279,styles123,Sir u r so amazing   we r so fortunate.....to have u sir....
1280,Shelar Avantika,Sir Your Teaching Method Is So Fabulous 
1281,Ashay Bhojanes Musical Journey.,Great Sir. You are a good human being as well. Thank you.
1282,Kumari Jyoti,Sr Yor teaching way is too much amazing . I really enjoy it with dedication .
1283,UPSE lover🙏,"Thank you, sir, Today's class was very useful for me."
1284,Dipti Bala Mohanty,"You are a teacher par excellence.
I have never seen a teacher like you..you are really a tracher,philosopher and guide..God bless you.."
1285,Dharampal Kumar,Very nice concept sir I enjoy this lecture
1286,Rveer singh,Thanku so much sir for such a guidence in free of cost
1287,ARUN PRATAP SINGH,THANKS SIR 
1288,Manish kumar,"ASCII value 256 tk hi hoti h, means all character value are ended at 256.
So can we store 257 in char type variable sir?"
1289,Anup Adhikari,"main()
{
int s[4];
s[9]=5;
printf(""%d"",s[9]);
printf("" \n%d"",sizeof(s));
}

Output
5
16

I am doubt that even if I have initialized array as 4 block size how could it print the value of s[9]"
1290,Trends updates,"What a explained  sir, 
Kaash  aap  hi jaise  hmre  college  Mai proffser  hote"
1291,Shrutika Mahindrakar,Gratitude ️
1292,Saurav Srivastav,"First of all sir your voice clarity is very good ,slow and understandable in hindi....which I feel lack of these things in most of either in online classes or offline classes....."
1293,Anokhautomation,"5 variable
k is float typy
a is int type
D1 is double
b is int"
1294,Tanmay kumar Swain,Thank you so much sir 
1295,BOLU YA KAHI TARI,Thank you very much sir. 
1296,Shubham Borate,Thank you sir 
1297,Badal Kumar,Great video sir Thanks
1298,Pie Gaming,Thank you sir 
1299,Nidhi Sahu,This  video's are very helpful for me
1300,Nupura Brahme,Nice explanation
1301,#code with mahi👁️‍🗨️,"Sir jb ap padhate h coding to lgta h ki hm koi game khle rhe h coding hame fun lgti h apke padhane ka method bahut acha h sir really awesome sir... 
Sir ap hamare liye mentor h apke jaise teacher bahut hi km hote h jo hr ek bache ko satisfie kre...
Sir jo ap gadha bolte h na to isse hame or jada motivation milta h...
Or sir apka motivation bahut hi hame  energy deta h to sir hamesa ese hi hamare sath Bane rhiye kyuki hame apni life me success hone ke liye apke jaise hi teachers ki need h bahut jada....
Or sir ap jb padhate h to doubt ek bhi nhi rh pata h sb clear ho jate h apne ap...
Sir apne bahut hi acha method btaya h coding sikhne ka dry run isse meri coding bahut jada improve hui h isse bahut hi jldi or  achi improve ho jati h hamari coding skill so thank you so much sir ....
God bless you sir ....
Love you sir ..."
1302,Kamala kant,Variable depends on int two or four byte plates depends..
1303,TRANK N TELL project,can we assign charater in int  data type
1304,Harshada Dhamdhere,Thankyou Sir.
1305,sofia gajbhiye,Sir please start data structure comunity classes
1306,Akshay Mangla,thanku sir
1307,shantanu mali fan of arijit singh sir,Thank you sir
1308,Aditya Bhatiya,Thankyou sir love from your future CE
1309,Sumit Sharma,Thanku sir
1310,pankaj kumar,"App ka pdana se time ka pta nhi chlta aur  easy way se app hume samjate ho app bhut bhut accha teacher ho.. 
App jese  teacher se pdna sobhagya h hamara.."
1311,rahul chaurasiya,Works well!! DANKEEE
1312,Gourav Chalotra,"Sir I watch your first video lecture series on yt logic building I learn so much think and get a great confidence in c but my dream is to big so I just scared. About my future life. My weak subject is English language i can properly read words and write spelling properly. English make a big problem for me now and also in my future so can you please help me to suggest a course please and become of not good in English , lack of confidence I have sir please If you can do something for me to guide me to do a great practical . ONE big thing I learn from you sir is patience while solving questions ️ i hope sir you suggest me some strategy for learn English properly ️"
1313,Asha Das,thanks sir soo much
1314,BBG BBG,Thanks sir ️️
1315,sofia gajbhiye,Amazing
1316,Shravani Pasalkar,Thank uuuu sir 
1317,Maneesh Jangir,Born to tech 
1318,SHYAM JI VERMA,"Mai to btata rhta hun sir

You are the best."
1319,Sandip Kamble,Love you sir...️
1320,Harsh Rajani,️️
1321,Harsh Chhikara Fan page,️
1322,Abuhurera Ansari,HELLO Sir coupon code kya dalna hai bootcamp wale course me
1323,natural beauty,Love u sir too good
1324,Abhinav Kumar,Notes are not available on the link
1325,vg,Sir apka python ka koi record. Course available h?
1326,Naitik Thakre,Hello sir maine aapki bhot saree video dekhee hain main aapke video dekha kar bhot inspayer ho jata hoon muze bhi aisa lagta hain ki main bhi in language ko sikha kar program bana loo lekin meri padhai jayda nahi hooi hain is liye main confused hoon main 9th class padha hoon muze english bolana nahi aata hain main kya karu meri bhot ichchaya hain sir ki main bhi apne parivar ke liye kuch karu.thankyou sirji
