,commentor,comment
260,M Ramzan Ali,"sir python ko continue rakhyn 
ap bht a6a parhaty han"
261,Ganpati bappa SR,Sir python interview ke question per video kro plz technical + coding
262,06 AKHIL AKOLA 20,Sir apki python ki full playlist h kya
263,Ritik Pal,Sir nice classes my 1st comment
264,Amresh MCA,Sir c++ ka community class start kijiye
265,Gurpreet Singh,Thanks sir
266,Annuj Jha,I never support free education videos because it is wasting the time. I support paid course maybe in some time I will go for paid course.
267,Gokul Joshi,Can i continue this with c too???
268,Ajinkya Naik,"Sir I don't have laptop ?
What should I do?"
269,Rupali Shinde,When will start basic python batch for paid
270,VISHAKHA DESHMUKH,sir c++ ke bad java kre ya python
271,technical Siva jee,Kya beginner course join kar sakte hai
272,ARYAN KUMAR,Sir c language ka certificate milgega na sir maine join kiya tha
273,Abhishek Vijayvargiya,"Sir i am abhishek persuing know final year btech 
muje bahut confusion hai sir coding mein muje koisi bhi coding nhi aati bs thode thode basics aate hai c, python ke sir actually mere sath esa ho rha h koi kehta hai c,c++,java, pdoo jabhi placement milega sir plzz muje btaiye mein kya karu mera python language se placement hoga ya nhi plz plz sir"
274,Sarvesh Kumar,Sir C ka class ka kya hoga
275,mukesh kr1 point,Good morning sir
276,vishal borate,DSA PLEASE SIR
277,technical Siva jee,Program kaisa run karenge sir
278,Fatima Khan,Sir R language b sikhyen
279,Neha Sharma,Sir me job ready boot camp vali batch me already inrolled hu or python ki batch lena chahti hun..sir boot camp vali batch me Assignment complete krne me 1 week lg jata hai..Sir dono sath me ho  jaegaa.. Kyuki dono ke Assignment rhenge .. Sir pls reply..
280,Ganpati bappa SR,Fess kitni hai paid batch ki
281,hosting vosting,Apse aik baar zindagi me zroor milna chahunga sir
282,Ganesh Navale,Good start
283,4umylife,Sir kya mai ise c ke sath kar sakta hun
284,Pawar Gaming,Sir aapke sabhi utube video  me sound  kam hi kiv aata he
285,Bright India,"Sir please help 
 Python app install nahi ho rha"
286,Raj Sharma,Surprised class
287,Ideal changes,Sir mujhe n hi java or n hi python aata h to pahle kya sikhe please tell me
288,aziz jindran,hello sir g
289,Hariom Ahirwar Hariom Ahirwar,My first day at class
290,Ujjal Singh,Sir Java le k aao
291,coding with fluorine,Sir ... I thought abhi nhi aayega
292,ACOUSTIC JAADU,"sir me java me job kr raha hu springboot wagera ata he mujhe, logic ke liye dsa join kiya sir ka kya me Python joinkaru ya java continue karu samjh nh "
293,Nikita Kushwah,Sir paid course se me jayada content hai kya or you tube pe jo aap python pdaoge usme ni hai kya
294,learn with JD,sir ap mern stack development me paid course laiyega kya?
295,Maneesh Kumar,Sir maine btech 2014 main ki thi...electrical and electronics ki hain sir maine kabhi language nhi seekhi hain .. please help kar dijie... python aa jaegii Maine kabhi nhi padhi h aaj tak even c language bhi nhi aati..hain...sir kuch bataye.....
296,Ideal changes,Sab se pahle kya kare
297,aditya reja,This man enjoys teaching. Born to teach.
298,Er. Anjani Kumar,"Hello Sir , 
Please provide the notes of C language Community classes from day 1 as I am not getting them on ineuron website only day 14 notes is available there which is of Functions .
Thank you so much in advance "
299,ARUN NISHAD,Very helpful all these  lectures
300,Luv Official,"Dear sir, with python bootcamp why you have not include the cloud fundamentals..its really needed for this full stack program.. Atleast backend in django with cloud fundamental would really helpful to get a job"
301,Hardik Patel,"Nice video Sir, i will share your video to my students."
302,Mithilesh Kumar,Sir please make videos series of DSA in javascript
303,Ashwani Singh,"these community classes are awesome, sala hamesha doubt rahta tha is topic me lekin ab lag rha hai pointer seekh gaye"
304,kamlesh yadav,Sir next class continue  .....️️
305,ARUN NISHAD,Sir last problem me *p[i] ayega na ?
306,Aryan maheshwari,Sir what I learn first c or c++ please reply much needed (Any one other can also )
307,Satish Kumar,Next class continue sir
308,jivan,क्या c Language के साथ में python भी कर सकते हैं ? on YouTube :yt:
309,MS444 FF,Java ka live class starts karo..
310,KAJAL PRAJAPATI,Sir aapki c language kii next video kb aa rahi hai??
311,Ankur swami,Kya c or c++ ke saath python kr sakte hai please reply
312,मेरे विचार,Sir इस live class का समय क्या है?????
313,coding with fluorine,Sir python ka community class kb laa rhe ho ??
314,Wild Life,Phase 3 ke video lectures kb se aayenge sir... I'm waiting for advance c lectures.
315,vg,sir python wale paid course m aap konsa portion karwaynge usme  navin sir v h to aapka konsa section h usme plz answer html css js and python aap karwaynge ya navin sir
316,Aman Singh,Sir python wala class kon padega?
317,Chaturnathalingam,Sir c language ka community class band ho jayegi kya ab? Please reply sir
318,Aastha Dewangan,Sir stage 3?
319,World Entertainment,1:00:00
320,Shubham Singhaniya official.,"Sir, Bootcamp Batches ka duration kitne din ka hai"
321,SANA FIROZ,Sir pointer ke assignment nhi mil rhe hai enroll krne ke bad bhi
322,guru shahib,Sir ji aapse badhiya teacher nahi hai YouTube pa
323,prathamesh Lendghar,Sir mera University exam chalu hai to abhi mai attend nhi kar paunga to kya mai 16 ke baad purchase kar sakta hu course tab tak khatam to nhi hoga na admission
